team name,salary,playoffs,finals
Miami,153171497 ,0,0
Golden State,146291276 ,1,1
Oklahoma City,144916427 ,1,0
Toronto,137793831 ,1,1
Milwaukee,130988604 ,1,1
Portland,130256600 ,1,1
Detroit,126557932 ,1,0
Houston,126474100 ,1,0
Boston,125334993 ,1,0
Memphis,125188633 ,0,0
Washington,123747588 ,0,0
New York,123387454 ,0,0
Cleveland,123255073 ,0,0
Minnesota,121962221 ,0,0
San Antonio,121588790 ,1,0
Charlotte,121427859 ,0,0
Brooklyn,118850600 ,1,0
Denver,118327016 ,1,0
LA Clippers,118026816 ,1,0
New Orleans,116052756 ,0,0
Philadelphia,115127167 ,1,0
Orlando,114394213 ,1,0
Utah,113826156 ,1,0
Chicago,112598201 ,0,0
Indiana,110724804 ,1,0
Phoenix,108692835 ,0,0
LA Lakers,107225482 ,0,0
Sacramento,101466920 ,0,0
Dallas,86958881 ,0,0
Atlanta,79180081 ,0,0
